flight_id	x	y	z	t	v	heading	ver_v
2	-74045.21992	-122727.8891	5619.458633	0.599748744	394.1080801	12.79937026	-1921.334331
2	-73797.88532	-121753.5654	5571.766905	0.685427136	394.1947011	15.95364553	-1728
2	-73512.52862	-120784.4428	5524.775172	0.771105528	393.9914419	17.82710879	-1856
2	-73202.39822	-119829.069	5477.804434	0.85678392	393.157336	18.46283962	-1920
2	-72873.74911	-118836.9745	5429.327311	0.942462312	392.0040015	18.59213344	-1984
2	-72562.4363	-117910.1158	5378.036058	1.028140704	390.46252	18.66547298	-1984
2	-72253.80017	-116992.6918	5328.695043	1.113819095	388.7450721	18.71211857	-2048
2	-71942.71348	-116069.8574	5279.97201	1.199497487	386.9188813	18.71582646	-1984.043197
2	-71607.51354	-115074.8491	5224.705333	1.285175879	384.9216013	18.70664129	-2048
2	-71237.03419	-113981.6682	5168.813886	1.370854271	383.3103469	19.15085657	-2048
2	-70894.68933	-113011.9345	5117.229846	1.456532663	382.4686084	20.31491553	-2005.789564
2	-70555.31232	-112113.6401	5066.536557	1.542211055	382.0686178	22.12712703	-2048
2	-70162.41944	-111177.7975	5016.587337	1.627889447	382.1007747	24.75403817	-2048
2	-69735.06656	-110291.4879	4964.585793	1.713567839	381.9626189	27.74582119	-2048
2	-69252.15822	-109409.2491	4914.413619	1.799246231	381.458419	30.24865492	-2111.744109
2	-68745.23104	-108562.7197	4864.6893	1.884924623	380.4684797	32.12076791	-1984
2	-68204.59494	-107709.2739	4815.490399	1.970603015	379.1140781	33.33829001	-1974.976304
2	-67682.21594	-106915.7242	4770.18992	2.056281407	377.2792624	33.75804889	-1920
2	-67119.50796	-106071.8529	4726.730577	2.141959799	374.9529726	33.9043624	-1626.838084
2	-66606.04052	-105305.0426	4689.307183	2.227638191	372.5564035	33.98614133	-1408
2	-66004.553	-104409.6906	4649.855593	2.313316583	369.3381031	34.06115105	-1216
2	-65473.33896	-103620.2486	4618.888376	2.398994975	366.1544179	34.09599138	-1152
2	-65005.43663	-102926.039	4593.380615	2.484673367	363.3253002	34.12622408	-1088
2	-64465.12367	-102125.1483	4565.35054	2.570351759	360.18105	34.14016813	-1088
2	-63878.49859	-101256.9308	4536.728596	2.656030151	357.0826499	34.15805372	-1088
2	-63317.74608	-100426.9555	4510.475056	2.741708543	354.5212053	34.14786524	-1024
2	-62892.74113	-99798.69037	4490.239445	2.827386935	352.8541018	34.1420868	-1024
2	-62319.96742	-98949.99946	4462.998579	2.913065327	351.11017	34.11047263	-1080.326764
2	-61874.16265	-98288.56657	4440.838032	2.998743719	350.1330689	34.09156471	-1024
2	-61312.83047	-97455.3195	4411.112345	3.084422111	349.1517245	34.07912094	-1151.216311
2	-60741.99901	-96608.73966	4381.861286	3.170100503	348.5135557	34.10157982	-1089.897594
2	-60458.45066	-96188.29968	4366.50367	3.255778894	348.2543855	34.1309947	-1088
2	-59873.26703	-95320.94003	4335.555314	3.341457286	347.9380951	34.18337671	-970.4560174
2	-59270.58852	-94430.00302	4303.862708	3.427135678	347.6818681	34.25802384	-1024
2	-58761.55093	-93678.65685	4278.777677	3.51281407	347.536092	34.29092228	-1024
2	-58103.67452	-92707.36423	4252.632476	3.598492462	347.142581	34.27650286	-960
2	-57674.39247	-92072.82905	4240.210227	3.684170854	346.8912752	34.25329055	-859.9602056
2	-57070.56171	-91180.31871	4226.109992	3.769849246	346.6009752	34.23532881	-497.8360253
2	-56687.12313	-90613.99784	4219.819082	3.855527638	346.4621068	34.23045425	-192
2	-56293.4132	-90032.6358	4214.846213	3.94120603	346.4047115	34.21593543	-128
2	-55805.4437	-89311.19531	4210.274563	4.026884422	346.2804001	34.19626423	-15.47974396
2	-55223.61568	-88451.57489	4208.215897	4.112562814	346.0514839	34.19173447	64
2	-54706.81465	-87687.83362	4207.317073	4.198241206	345.8446289	34.20155451	36.64864276
2	-54186.75203	-86920.35484	4207.317073	4.283919598	345.590718	34.20973637	-63.9738097
2	-53767.49145	-86301.84307	4207.317073	4.36959799	345.2674295	34.2251741	0
2	-53251.22951	-85539.90913	4207.985078	4.455276382	344.8211692	34.22744066	0
2	-52623.09878	-84613.49624	4209.130685	4.540954774	345.3662513	34.23905053	58.47432866
2	-52215.96987	-84013.60031	4209.953855	4.626633166	346.7400762	34.25208443	115.725921
2	-51472.4891	-82918.65462	4209.984756	4.712311558	350.5802302	34.27945571	125.0079838
2	-51010.82016	-82238.67976	4209.621698	4.79798995	353.601193	34.28899521	127.3299027
2	-50656.77766	-81717.35803	4209.027593	4.883668342	355.9855105	34.28969098	29.10591746
2	-50299.15941	-81190.80258	4208.418865	4.969346734	358.5225234	34.29266995	-67.67496864
2	-49774.24496	-80417.74345	4207.698171	5.055025126	362.435378	34.29095695	-226.5853188
2	-49073.95639	-79386.57074	4207.582078	5.140703518	367.7388858	34.27057256	-127.305531
2	-48325.37221	-78283.26064	4206.320837	5.22638191	372.7627308	34.26029784	0
2	-47838.58271	-77565.04877	4205.494833	5.312060302	375.0220108	34.23224591	52.03603635
2	-47571.37242	-77170.74206	4205.03078	5.397738693	375.8759945	34.22952378	64
2	-47119.54564	-76503.86438	4204.648509	5.483417085	376.6573899	34.20701609	-0.149552084
2	-46304.16833	-75299.11479	4203.887195	5.569095477	376.4738209	34.17898238	100.1308607
2	-45692.29289	-74394.77032	4203.943068	5.654773869	375.0712656	34.18000373	98.39376321
2	-45281.52073	-73787.4862	4204.64939	5.740452261	373.5839189	34.19575507	35.30947432
2	-44597.34734	-72776.75482	4204.64939	5.826130653	370.4475195	34.22130084	-89.09533501
2	-44075.95078	-72007.73384	4204.98369	5.911809045	367.2718242	34.25756388	135.8589877
2	-43479.18383	-71127.46243	4206.114065	5.997487437	363.4354565	34.30412092	-113.1007062
2	-43002.35485	-70425.2491	4207.023969	6.083165829	360.1347342	34.34500335	215.3420921
2	-42453.42014	-69618.69706	4208.131631	6.168844221	356.3502254	34.4099639	-348.0958054
2	-41793.0355	-68649.31338	4209.346422	6.254522613	352.8860498	34.41025923	248.3818602
2	-41334.0155	-67975.15027	4209.095135	6.340201005	351.4182298	34.42837561	-226.1633482
2	-40627.48736	-66938.03346	4207.735726	6.425879397	349.7937499	34.44490905	-235.0976214
2	-40186.83365	-66291.08834	4205.464028	6.511557789	349.4069042	34.40723295	104.5273365
2	-40042.8552	-66079.57427	4204.587322	6.597236181	349.3292057	34.40487414	177.2118917
2	-39783.44781	-65698.6885	4202.50574	6.682914573	349.1869939	34.39719581	46.45767964
2	-39146.88469	-64764.01379	4194.936456	6.768592965	348.787116	34.38116374	-380.9632248
2	-38288.59826	-63502.40856	4180.818549	6.854271357	348.7082654	34.34879327	-640
2	-37761.81681	-62728.51978	4167.487007	6.939949749	348.2688442	34.4052314	-640
2	-37255.48329	-61986.8845	4150.134155	7.025628141	347.0379904	34.46797328	-647.2224764
2	-36770.81097	-61278.27755	4129.082621	7.111306533	344.8779336	34.55866076	-893.7213232
2	-36242.61407	-60508.26284	4107.802234	7.196984925	342.2277408	34.6057732	-979.5253145
2	-35827.81573	-59904.09775	4090.168832	7.282663317	339.5036327	34.60786549	-896
2	-35225.54796	-59026.85235	4065.366408	7.368341709	335.5146467	34.58178816	-769.8094056
2	-34652.21332	-58190.70096	4043.440877	7.454020101	332.0738869	34.51472922	-887.6701444
2	-34258.06915	-57614.61992	4029.68983	7.539698492	330.096845	34.43313803	-725.8160797
2	-33938.51508	-57147.15709	4019.794066	7.625376884	328.8213996	34.38640168	-271.2978517
2	-33331.46052	-56256.43261	4001.319338	7.711055276	326.2453868	34.31590947	-817.1289639
2	-32851.53644	-55552.32223	3987.114813	7.796733668	324.2594942	34.39627645	-512
2	-32337.77235	-54799.81075	3971.0323	7.88241206	322.0825276	34.4935045	-137.2410793
2	-31850.74204	-54088.74966	3950.566382	7.968090452	320.1700017	34.58923574	-648.2807688
2	-31302.94706	-53291.00409	3922.766558	8.053768844	318.3542276	34.63444505	-1095.348851
2	-30799.68948	-52559.02315	3891.025705	8.139447236	316.7883632	34.73204882	-1791.206962
2	-30381.3931	-51951.74361	3860.080764	8.225125628	315.919149	34.70365587	-1409.447127
2	-29913.44808	-51272.43878	3817.204227	8.31080402	315.4301142	34.57146417	-1496.842774
2	-29437.33921	-50577.76472	3768.81821	8.396482412	315.5525852	34.4718234	-1769.952571
2	-28985.18022	-49915.46161	3718.121782	8.482160804	315.632085	34.39626927	-2144.264317
2	-28492.51872	-49192.41666	3665.654875	8.567839196	315.5860329	34.30028098	-2146.981446
2	-28160.53779	-48704.2586	3627.791796	8.653517588	315.585645	34.26917	-1748.930785
2	-27706.46234	-48034.55626	3579.281587	8.73919598	315.4969421	34.26587709	-1984
2	-27168.57581	-47241.98122	3534.240241	8.824874372	314.9044719	34.2832368	-1384.659454
2	-26667.99484	-46505.33648	3492.3976	8.910552764	314.2144098	34.27986474	-1426.605616
2	-26150.58265	-45743.60301	3443.803995	8.996231156	313.85433	34.30782	-1369.591039
2	-25772.47872	-45186.91938	3407.58753	9.081909548	313.8730891	34.28733497	-2055.292828
2	-25256.16939	-44426.34301	3355.136397	9.16758794	313.9524254	34.31844957	-2147.4836
2	-24782.30307	-43731.23741	3308.827254	9.253266332	313.8471798	34.4111754	-1472
2	-24320.96727	-43056.60951	3269.578429	9.338944724	313.3463505	34.53337238	-1592.512197
